id,attester,recipient,refUID,revocable,revocationTime,revoked,expirationTime,data,schema.id,decodedDataJson
0x0014bddb4bbaa2d7c9b4da4e6ed159ea3dbcd365934617335a55c94f85edc060,0x357458739F90461b99789350868CD7CF330Dd7EE,0x92491bDDc0Ffb9372fC1F0687BC692f3DdF61D7F,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x0014cc3b76a5c54e5734413f899816cc657b66aa6668b39c0210815d89bea40e,0x357458739F90461b99789350868CD7CF330Dd7EE,0xB88703786f1181D710520EB2812673Dd12ff230E,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x006397692c28c4df5d97fd3f673f5b40330dead16095e7f83a24c5277d33db3d,0x357458739F90461b99789350868CD7CF330Dd7EE,0x59d5f23C49CcC33fb1D083caEbd8f729734280ce,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x006871ad470f7a601c72ca6d350f522a9de3ec48d16924af46f3437255db155f,0x357458739F90461b99789350868CD7CF330Dd7EE,0x5DbAB9Bcd012BCa147F6aF1cf0713069E932a248,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x006aa2ba354174ff3d85111364ba641e385e6d9676108ce40cbb3e1083aca339,0x357458739F90461b99789350868CD7CF330Dd7EE,0x4996533e4AD2DEF3B22d8Da461E02b018Ad607b5,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x006efc7ecef160e096ba6a9b1973deadb0218629c7e5774fd695509bbe3bfe32,0x357458739F90461b99789350868CD7CF330Dd7EE,0x9B570c7Ff3bF0629B8286D89BE3d8a90072c502E,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x00871bb46c6dff97f4aa2a3dcf08d2ea5f9e6d7cc6b379980bddb69f8c443fd8,0x357458739F90461b99789350868CD7CF330Dd7EE,0x17cc90A1868522915f0899599fBFAe6b6Cf3841d,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x00a7b2598ec5f8b993532ac1a5ee088b38e385bcfb40b05027530fe7e1d7aa60,0x357458739F90461b99789350868CD7CF330Dd7EE,0x8F05D6d439315E03bd26Cc40A6Ed29cA2C89c80C,0x0000000000000000000000000000000000000000000000000000000000000000,1,1719519593,1,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x00c211ceadd9a14a7eb2fc6ffdfdad04d196f3485014b222197cd302eb727e11,0x357458739F90461b99789350868CD7CF330Dd7EE,0x44A009598835e23Fc18fC3A6E57998e3FCd69E01,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x00c322fce9cc67bfd958247aed60d96b8ee8931fd1c749deba1093c26ae47595,0x357458739F90461b99789350868CD7CF330Dd7EE,0xc32DDb3602341752f3c5683402905d95FBad463e,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
